Question,Answer
Fatih Mehmet Uğurlu kimdir?,"Fatih Mehmet Uğurlu Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Antrenman, Egzersiz ve Spor Bilimleri"
Gül Dural kimdir?,"Gül Dural Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Dahili Hastalıklar Hemşireliği, Yoğun Bakım Hemşireliği"
Banu Taşkan kimdir?,"Banu Taşkan Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Mikrobiyoloji, Çevresel Biyoteknoloji, Yenilenebilir Enerji Sistemleri, Atıksu Arıtma Süreçleri"
Adem Özdemir kimdir?,Adem Özdemir Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Endodonti
Hakan Fehmi Öztop kimdir?,"Hakan Fehmi Öztop Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Thermodynamics and Statistical Physics, Computational Methods in Fluid Flow, Heat and Mass Transfer (Incl. Computational Fluid Dynamics), Renewable Energy Resources , Nanotechnology, Heat Transfer in Automotive"
Muhammed Sefa Çetin kimdir?,"Muhammed Sefa Çetin Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Electrical Energy Transmission, Networks and Systems, Power Plants, Hybrid and Electric Vehicles and Powertrains"
Mehmet Erdem kimdir?,Mehmet Erdem Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İslam Hukuku
Mustafa Aydın kimdir?,Mustafa Aydın Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yenidoğan
Rüstem Göktürk Haylı kimdir?,Rüstem Göktürk Haylı Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Rehberlik ve Psikolojik Danışmanlık
Ayşe Ülkü Kan kimdir?,Ayşe Ülkü Kan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim
Selim Gündüz kimdir?,Selim Gündüz Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İş Hukuku
Mehmet Koca kimdir?,Mehmet Koca Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fen ve Matematik Alanları Eğitimi
Cemal Orhan kimdir?,Cemal Orhan Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hayvan Beslenmesi
Ayşe Özpolat kimdir?,"Ayşe Özpolat Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Cinsiyet Sosyolojisi, İktisat Psikolojisi, Endüstriyel ve Örgütsel Psikoloji (İnsan Faktörleri Dahil)"
Hasan Kürüm kimdir?,Hasan Kürüm Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Makineleri ve Sürücüler
Esra Gülengül kimdir?,Esra Gülengül Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İslam Hukuku
Pelın Kılınç kimdir?,"Pelın Kılınç Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Göç Sosyolojisi, Sosyoloji (Diğer)"
Cengiz Öner kimdir?,Cengiz Öner Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Makine Mühendisliği
Ali Tekin kimdir?,Ali Tekin Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Gıda Bilimleri
Sibel Kayğılı kimdir?,Sibel Kayğılı Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Genel Jeoloji
Reşat Çelikel kimdir?,"Reşat Çelikel Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Makineleri ve Sürücüler, Fotovoltaik Güç Sistemleri"
Yasemin Kubanç kimdir?,Yasemin Kubanç Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Matematik Eğitimi
Ahmet Aksın kimdir?,"Ahmet Aksın Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yakınçağ Kent Tarihi, Yakınçağ Osmanlı Tarihi"
Hikmet Kemaloğlu kimdir?,Hikmet Kemaloğlu Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Mathematical Physics
Meral Başaran kimdir?,"Meral Başaran Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Arkeoloji, Erken Tunç Çağ Arkeolojisi"
Bilgit Sağlam kimdir?,"Bilgit Sağlam Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Güney-Batı (Oğuz) Türk Lehçeleri ve Edebiyatları, Ağız Araştırmaları Bilimi, Dilsel Yapılar (Fonoloji, Morfoloji ve Sözdizimi dahil), Yeni Türk Dili (Eski Anadolu, Osmanlı, Türkiye Türkçesi)"
Eyüp Eröz kimdir?,"Eyüp Eröz Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Güvenliği Yönetimi, Yapay Zeka, Memnuniyet ve Optimizasyon"
Tugay Tartar kimdir?,Tugay Tartar Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Bilimleri
M. Cihat Tuna kimdir?,"M. Cihat Tuna Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnşaat Mühendisliği, Mühendislik"
Şerif Uzunaslan kimdir?,Şerif Uzunaslan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sosyal Hizmetler
Çiğdem Akcabay kimdir?,"Çiğdem Akcabay Fırat Üniversite kurumunda Uzman derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Tıbbi Genetik (Kanser Genetiği hariç), Kadın Hastalıkları ve Doğum"
Mustafa Taş kimdir?,"Mustafa Taş Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hadis, Kuran-ı Kerim Okuma ve Kıraat"
Cuma Bolat kimdir?,"Cuma Bolat Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kuzey-Batı (Kıpçak) Türk Lehçeleri ve Edebiyatları, Dilbilim"
Murat Şahin kimdir?,"Murat Şahin Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Mimari Miras ve Koruma, Mimari Tarih, Teori ve Eleştiri"
Özge Hanay kimdir?,"Özge Hanay Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çevresel Nanoteknoloji ve Nanometroloji, Su Kalitesi ve Su Kirliliği"
Nilgün Kahraman kimdir?,"Nilgün Kahraman Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: E-Devlet, Kamu Yönetimi, Kentsel Politika, Yerel Yönetimler, Teknoloji Yönetimi"
Emrah Aytaç kimdir?,"Emrah Aytaç Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Nöroloji ve Nöromüsküler Hastalıklar, Sağlık Bilimleri"
Ahmet Orhan Görgülü kimdir?,Ahmet Orhan Görgülü Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kimya
Muhammet Kurucu kimdir?,"Muhammet Kurucu Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Mimari Miras ve Koruma, Yapı, Çevre, Yerleşim ve Ürünlerde Koruma, Restorasyon, Yenileme, Mimarlık Tarihi"
Sedat Çiçek kimdir?,"Sedat Çiçek Fırat Üniversite kurumunda Uzman derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Gastroenteroloji ve Hepatoloji, İç Hastalıkları"
Cihangir Eker kimdir?,"Cihangir Eker Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Güzel Sanatlar Eğitimi, Grafik Tasarımı, İllüstrasyon"
Kürşat Çelik kimdir?,Kürşat Çelik Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Osmanlı İktisat Tarihi
Hasan Bektaş Perçin kimdir?,"Hasan Bektaş Perçin Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Mühendisliği, Elektrik Enerjisi Üretimi (Yenilenebilir Kaynaklar Dahil, Fotovoltaikler Hariç), Elektrik Makineleri ve Sürücüler, Yenilenebilir Enerji Sistemleri"
Didem Yavuz Söyler kimdir?,Didem Yavuz Söyler Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fiziksel Aktivite ve Sağlık
Arzu Etkeser Aktaş kimdir?,Arzu Etkeser Aktaş Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Organik Kimya
Ufuk Teoman Aksoy kimdir?,"Ufuk Teoman Aksoy Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fiziksel Çevre Kontrolü, Yapım Teknolojileri"
Barbaros Durmuş kimdir?,Barbaros Durmuş Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çevre Mühendisliği
Merve Yıldırım kimdir?,"Merve Yıldırım Fırat Üniversite kurumunda Yrd. Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Electrical Machines and Drives, Electrical Engineering (Other), Hybrid and Electric Vehicles and Powertrains"
Ayşe Gül Harlıoğlu kimdir?,Ayşe Gül Harlıoğlu Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sucul Kültür ve Balıkçılık
Alper Kadir Tanyıldızı kimdir?,"Alper Kadir Tanyıldızı Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kontrol Teorisi ve Uygulamaları, Kontrol Mühendisliği, Mekatronik ve Robotik, Mekatronik Mühendisliği, Mekatronik Sistem Tasarımı, Makine Teorisi ve Dinamiği"
Esra Çetinkaya Özkan kimdir?,"Esra Çetinkaya Özkan Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Peyzaj Mimarlığı, Peyzaj Planlama"
Ümmühan Güzel Baydoğan kimdir?,Ümmühan Güzel Baydoğan Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkçe Eğitimi
Mert Gürtürk kimdir?,Mert Gürtürk Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Termik Enerji Sistemleri
Gül Tosun kimdir?,"Gül Tosun Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Toz ve Parçacık Teknolojisi, Kaplama Teknolojisi, Kompozit ve Hibrit Malzemeler, Organik Yarı İletkenler, Toz Metalurjisi, İmalat Süreçleri ve Teknolojileri"
İbrahim Haruna Umar kimdir?,İbrahim Haruna Umar Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnşaat Geoteknik Mühendisliği
Sencer Ünal kimdir?,Sencer Ünal Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Electrical Machines and Drives
Askeri Çankaya kimdir?,"Askeri Çankaya Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hemşirelik, Cerrahi Hastalıklar Hemşireliği"
Aysel Sarı kimdir?,"Aysel Sarı Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biyokimya ve Hücre Biyolojisi (Diğer), Tıbbi ve Biyomoleküler Kimya"
Ali Arslan kimdir?,Ali Arslan Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Bilimleri
Oktay Yiğit kimdir?,"Oktay Yiğit Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kaplama Teknolojisi, Kompozit ve Hibrit Malzemeler, Korozyon, Organik Yarı İletkenler"
Ahmet Top kimdir?,"Ahmet Top Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Mühendisliği, Kontrol Teorisi ve Uygulamaları, Mekatronik Sistem Tasarımı"
Üzeyir Aycel kimdir?,"Üzeyir Aycel Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yapay Zeka, Bilgisayar Yazılımı"
Hatice Pekince kimdir?,"Hatice Pekince Fırat Üniversite kurumunda Dr. Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hemşirelik, Halk Sağlığı Hemşireliği, Afet Hemşireliği"
Serpil Yalçın Kuzu kimdir?,"Serpil Yalçın Kuzu Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Büyük Veri, Yapay Zeka, Nükleer Fizik, Parçacık ve Yüksek Enerji Fiziği"
Orhan Atila kimdir?,"Orhan Atila Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Derin Öğrenme, Elektrik Mühendisliği, Sinyal İşleme, İletişim Mühendisliği (Diğer)"
Abdullah Bingölbalı kimdir?,Abdullah Bingölbalı Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Spor ve Rekreasyon
Ahmet Yıldız kimdir?,"Ahmet Yıldız Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Makineleri ve Sürücüler, Yenilenebilir Enerji Sistemleri, Mekatronik Mühendisliği"
Büşra Gül Özdil kimdir?,Büşra Gül Özdil Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkçe ve Sosyal Bilimler Eğitimi
Aslı Arslan kimdir?,"Aslı Arslan Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Siyasi Düşünce Tarihi, Türkiye Cumhuriyeti Tarihi"
Bahar Türkyılmaz kimdir?,"Bahar Türkyılmaz Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çağdaş Türk Lehçeleri ve Edebiyatları, Güney-Doğu (Yeni Uygur/Özbek) Türk Lehçeleri ve Edebiyatları"
Esra Gündoğan kimdir?,Esra Gündoğan Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi ve Bilgi İşleme Bilimleri
Melek İnan kimdir?,"Melek İnan Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Davranışsal İktisat, Pazarlama"
Yusuf Er kimdir?,"Yusuf Er Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Malzeme Mühendisliği, Döküm Teknolojileri, Kompozit ve Hibrit Malzemeler, Korozyon, Malzeme Üretim Teknolojileri, Organik Yarı İletkenler"
Ceyda Akıllı kimdir?,Ceyda Akıllı Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Yönetimi
Murat Gökalp kimdir?,"Murat Gökalp Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Din, Toplum ve Kültür Araştırmaları"
Fethi Kamışlı kimdir?,"Fethi Kamışlı Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Enerji, Kütle Transferi, Polimer Bilimi ve Teknolojileri"
Sait Bosat kimdir?,Sait Bosat Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kuran-ı Kerim Okuma ve Kıraat
Lokman Kızkapan kimdir?,Lokman Kızkapan Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çok Ölçütlü Karar Verme
H.lutfi Yücel kimdir?,"H.lutfi Yücel Fırat Üniversite kurumunda Dr. Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yenilenebilir Enerji Sistemleri, Enerji Üretimi, Dönüşüm ve Depolama (Kimyasal ve Elektiksel hariç), İçten Yanmalı Motorlar, Otomotiv Yanma ve Yakıt Mühendisliği"
Muhammet Şaban Tanyıldızı kimdir?,"Muhammet Şaban Tanyıldızı Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biyokataliz ve Enzim Teknolojisi, Biyoprosess, Kimyasal Reaksiyon Mühendisliği"
Abdullah Özen kimdir?,Abdullah Özen Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Bilimleri
Tuba Gülşen kimdir?,"Tuba Gülşen Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Matematik, Operatör Cebirleri ve Fonksiyonel Analiz, Uygulamalı Matematik"
Mehmet Erbil Özcan kimdir?,Mehmet Erbil Özcan Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Makine Mühendisliği
Çağrı Kaymak kimdir?,"Çağrı Kaymak Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Makine Öğrenme, Derin Öğrenme, Mekatronik Mühendisliği"
İlhan Fırat Kılınçer kimdir?,"İlhan Fırat Kılınçer Fırat Üniversite kurumunda Yrd. Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Güvenliği Yönetimi, Makine Öğrenmesi Algoritmaları, Adli Bilişim"
Erman Çelik kimdir?,"Erman Çelik Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Termodinamik ve İstatistiksel Fizik, Akışkan Akışı, Isı ve Kütle Transferinde Hesaplamalı Yöntemler (Hesaplamalı Akışkanlar Dinamiği Dahil), Yenilenebilir Enerji Sistemleri, Otomotivde Isı Transferi"
Sevda Danık kimdir?,"Sevda Danık Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Osmanlı İktisat Tarihi, Yeniçağ Osmanlı Tarihi, Osmanlı Tarihi"
Ayşegül Uçar kimdir?,"Ayşegül Uçar Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Karar Desteği ve Grup Destek Sistemleri, Görüntü İşleme, Makine Öğrenme, Gömülü Sistemler, Kontrol Teorisi ve Uygulamaları, Mekatronik Mühendisliği"
Muhammed Önal kimdir?,"Muhammed Önal Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Karar Desteği ve Grup Destek Sistemleri, Görüntü İşleme, Veri Madenciliği ve Bilgi Keşfi, Yapay Zeka"
Ayşe Kılıç kimdir?,"Ayşe Kılıç Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Bilimleri, Veteriner Mikrobiyolojisi"
Serhat Keser kimdir?,"Serhat Keser Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bitki Biyokimyası, Genotoksisite ve Sitotoksisite, Doğal Ürünler ve Biyoaktif Bileşikler"
Betül Ay kimdir?,"Betül Ay Fırat Üniversite kurumunda Yrd. Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Image Processing, Big Data, Artificial Intelligence, Natural Language Processing"
Muhammed Kılıçarslan kimdir?,Muhammed Kılıçarslan Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fiziksel Coğrafya ve Çevre Jeolojisi
Gürkan Akgöl kimdir?,Gürkan Akgöl Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fiziksel Tıp ve Rehabilitasyon
Tuba Gök kimdir?,Tuba Gök Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Endodonti
Latif Özler kimdir?,"Latif Özler Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Makine Tasarımı ve Makine Elemanları, Malzeme Tasarım ve Davranışları, Kaplama Teknolojisi, İmalat Süreçleri ve Teknolojileri"
Erkan Duman kimdir?,"Erkan Duman Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Yapay Zeka, Gömülü Sistemler"
Dursun Pehlivan kimdir?,Dursun Pehlivan Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Energy
Ümran Cihan Dündar kimdir?,"Ümran Cihan Dündar Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sosyal Hizmetler, Sosyal Hizmetler (Diğer)"
Cevher Kürşat Macit kimdir?,"Cevher Kürşat Macit Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sonlu Elemanlar Analizi, Endüstriyel Ürün Tasarımı, Akışkan Akışı, Isı ve Kütle Transferinde Hesaplamalı Yöntemler (Hesaplamalı Akışkanlar Dinamiği Dahil), Kırılma Mekaniği, Enerji Üretimi, Dönüşüm ve Depolama (Kimyasal ve Elektiksel hariç), Kaynak Teknolojileri, Makine Tasarımı ve Makine Elemanları, Malzeme Tasarım ve Davranışları, Kompozit ve Hibrit Malzemeler, Nanoteknoloji, Otomotivde Isı Transferi, CAD/CAM Sistemleri, İmalat Süreçleri ve Teknolojileri"
Ecem Özen Öner kimdir?,Ecem Özen Öner Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yoğun Madde Fiziği
Mehmet İlyas Bayındır kimdir?,"Mehmet İlyas Bayındır Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Derin Öğrenme, Elektrik Makineleri ve Sürücüler"
Hakan Aygun kimdir?,"Hakan Aygun Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Termodinamik ve İstatistiksel Fizik, İçten Yanmalı Motorlar, Uzay Mühendisliği, Hava-Uzay Ulaşımı"
Sümeyye Barut kimdir?,Sümeyye Barut Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Clinical Midwifery
H. Soner Altundogan kimdir?,"H. Soner Altundogan Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biyoprosess, Hidrometalurji, Atıksu Arıtma Süreçleri"
Ahmet Orhan kimdir?,Ahmet Orhan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Makineleri ve Sürücüler
Selin Yıldız kimdir?,Selin Yıldız Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fen ve Matematik Alanları Eğitimi
Sibel Köprücü kimdir?,Sibel Köprücü Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sucul Kültür ve Balıkçılık
Gonca Özmen Koca kimdir?,Gonca Özmen Koca Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yapay Görme
Serap Parlar kimdir?,Serap Parlar Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hemşirelik
Emre Turgut kimdir?,"Emre Turgut Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Termodinamik ve İstatistiksel Fizik, Yenilenebilir Enerji Sistemleri, Makine Mühendisliği, Enerji Üretimi, Dönüşüm ve Depolama (Kimyasal ve Elektiksel hariç)"
Mehmet Tuzcu kimdir?,"Mehmet Tuzcu Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hayvan Hücresi ve Moleküler Biyoloji, Kanser Hücre Biyolojisi"
Narin Aslan kimdir?,"Narin Aslan Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biomechatronics, Control Engineering"
Erol Asiltürk kimdir?,"Erol Asiltürk Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fen ve Matematik Alanları Eğitimi, Kimya Eğitimi, Fen Bilgisi Eğitimi, İnorganik Kimya"
Zülfiye İlter kimdir?,"Zülfiye İlter Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fiziksel Kimya, Polimerizasyon Mekanizmaları"
Muhammed Talo kimdir?,"Muhammed Talo Fırat Üniversite kurumunda Yrd. Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Yapay Zeka, Biyomedikal Bilimler ve Teknolojiler"
Ayşegül Akdemir kimdir?,"Ayşegül Akdemir Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Osmanlı Sahası Klasik Türk Edebiyatı, Klasik Türk Edebiyatı"
Mehmet Gedikpınar kimdir?,Mehmet Gedikpınar Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Mühendisliği
Batuhan Selvi kimdir?,Batuhan Selvi Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Mustafa Ulaş kimdir?,Mustafa Ulaş Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Doğal Dil İşleme
